NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
184	565.381	12.042	81.733	12.105	0.016	0.979	100000.0
185	547.858	12.265	78.059	12.215	0.017	0.978	120000.0
186	532.59	11.36	74.14	11.271	0.014	0.98	170000.0
187	540.557	11.844	76.272	11.709	0.016	0.979	140000.0
188	542.431	11.699	78.341	11.691	0.015	0.979	110000.0
189	549.805	12.146	77.546	11.932	0.016	0.978	170000.0
190	532.17	11.894	75.507	11.943	0.016	0.978	130000.0
191	546.539	11.721	79.0	11.833	0.015	0.979	80000.0
192	528.304	11.319	72.941	11.049	0.015	0.982	150000.0
193	533.311	11.896	75.344	11.744	0.016	0.979	70000.0
194	544.91	11.548	78.004	11.493	0.015	0.981	150000.0
195	529.093	11.791	74.006	11.743	0.016	0.979	160000.0
196	546.468	12.047	76.566	11.789	0.016	0.978	220000.0
197	549.637	12.148	78.748	12.191	0.016	0.977	140000.0
198	521.289	11.525	73.119	11.429	0.016	0.98	110000.0
199	542.366	11.847	76.38	11.618	0.016	0.979	90000.0
200	522.772	11.476	74.588	11.44	0.015	0.98	110000.0
201	545.244	12.005	79.316	12.048	0.017	0.978	210000.0
202	534.785	11.942	74.371	11.752	0.017	0.978	110000.0
203	525.352	11.48	74.692	11.323	0.016	0.981	220000.0
204	554.062	11.973	78.692	12.048	0.016	0.979	180000.0
205	536.587	11.743	77.3	11.822	0.016	0.978	210000.0
206	529.337	11.66	75.833	11.77	0.015	0.978	120000.0
207	551.655	11.843	79.961	11.801	0.016	0.98	60000.0
208	542.622	11.543	78.39	11.667	0.015	0.98	220000.0
209	549.138	12.041	79.987	12.166	0.016	0.977	90000.0
210	523.671	11.577	72.292	11.34	0.016	0.98	90000.0
211	536.945	11.821	74.368	11.592	0.016	0.979	80000.0
212	557.692	12.292	79.559	12.281	0.017	0.977	140000.0
213	548.424	11.866	77.709	11.747	0.016	0.98	110000.0
214	562.726	12.19	79.439	12.0	0.016	0.978	110000.0
215	536.033	11.46	76.691	11.519	0.016	0.98	220000.0
216	567.726	11.908	80.232	11.73	0.015	0.98	110000.0
217	553.182	11.656	80.246	11.576	0.014	0.981	80000.0
218	531.312	11.615	74.451	11.504	0.015	0.98	140000.0
219	532.871	11.386	75.455	11.443	0.015	0.979	120000.0
220	544.612	11.677	76.824	11.696	0.016	0.98	260000.0
221	540.587	11.537	77.65	11.572	0.015	0.98	170000.0
222	538.221	11.488	76.805	11.415	0.015	0.981	200000.0
223	536.729	11.878	78.337	11.908	0.016	0.979	150000.0
224	529.18	11.382	73.541	11.138	0.015	0.982	100000.0
225	531.077	11.592	75.444	11.572	0.015	0.979	170000.0
226	525.505	11.368	72.86	11.326	0.015	0.98	120000.0
227	519.766	11.404	73.481	11.282	0.015	0.981	150000.0
228	529.283	11.575	74.282	11.43	0.015	0.98	130000.0
229	520.67	11.286	73.894	11.305	0.015	0.981	200000.0
230	559.2	12.139	79.263	12.055	0.016	0.979	130000.0
231	545.58	12.121	77.666	12.303	0.017	0.976	70000.0
232	532.969	11.688	77.503	11.85	0.016	0.978	90000.0
233	527.914	11.818	74.771	11.619	0.016	0.979	100000.0
234	531.978	11.668	76.683	11.635	0.015	0.98	80000.0
235	549.481	12.015	77.566	12.011	0.016	0.978	180000.0
236	549.563	11.692	79.59	11.812	0.015	0.979	90000.0
237	516.896	11.502	72.398	11.313	0.015	0.98	130000.0
238	565.531	12.571	79.267	12.444	0.018	0.977	260000.0
239	529.757	11.855	75.363	11.905	0.017	0.978	120000.0
240	555.99	12.091	78.781	12.042	0.016	0.977	130000.0
241	528.607	11.662	74.768	11.636	0.016	0.979	120000.0
242	517.417	11.179	75.304	11.295	0.015	0.981	120000.0
243	549.027	11.9	77.266	11.877	0.016	0.979	90000.0
244	531.188	12.004	74.0	11.7	0.017	0.98	130000.0
245	551.812	12.038	78.268	11.964	0.016	0.979	130000.0
246	519.628	11.354	72.4	11.252	0.015	0.981	130000.0
247	530.807	11.076	74.455	11.011	0.014	0.981	150000.0
248	531.267	11.549	74.519	11.46	0.015	0.98	100000.0
249	534.392	11.765	77.23	11.736	0.015	0.979	170000.0
250	534.759	11.855	75.538	11.81	0.016	0.979	130000.0
251	547.128	11.951	76.779	11.678	0.016	0.98	120000.0
252	535.377	11.813	75.719	11.622	0.016	0.98	150000.0
253	544.605	11.772	77.604	11.689	0.016	0.979	70000.0
254	549.115	11.789	78.581	11.94	0.015	0.979	70000.0
255	534.856	11.533	74.883	11.319	0.016	0.981	130000.0
256	534.613	11.722	75.914	11.651	0.015	0.98	90000.0
257	517.914	11.341	72.587	11.179	0.015	0.981	100000.0
258	517.617	11.426	73.273	11.49	0.015	0.98	140000.0
259	554.306	11.918	78.832	11.952	0.015	0.979	110000.0
260	533.239	11.734	77.084	11.868	0.016	0.979	100000.0
261	535.093	11.931	75.197	11.756	0.017	0.979	130000.0
262	542.285	11.96	77.09	11.919	0.016	0.979	50000.0
263	541.407	11.562	77.684	11.745	0.016	0.979	130000.0
264	535.868	11.729	76.523	11.822	0.015	0.979	180000.0
265	540.527	11.812	76.22	11.665	0.016	0.979	110000.0
266	540.75	11.567	77.649	11.548	0.015	0.98	160000.0
267	536.619	11.6	75.318	11.568	0.015	0.98	110000.0
268	523.915	11.575	72.919	11.51	0.015	0.98	110000.0
269	558.624	11.824	79.487	11.767	0.016	0.979	100000.0
270	527.092	11.825	75.372	11.71	0.016	0.979	110000.0
271	544.389	11.775	77.743	11.656	0.016	0.98	140000.0
272	549.49	11.881	76.167	11.595	0.016	0.979	80000.0
273	533.41	11.856	76.566	11.921	0.017	0.977	140000.0
274	541.236	11.519	77.248	11.478	0.015	0.981	110000.0
275	536.908	11.721	76.151	11.62	0.015	0.98	90000.0
276	531.509	11.576	76.095	11.58	0.015	0.98	120000.0
277	530.264	11.574	76.77	11.505	0.015	0.981	110000.0
278	543.277	11.867	77.876	11.795	0.016	0.979	140000.0
279	548.958	11.776	76.507	11.649	0.015	0.98	170000.0
280	552.196	12.167	77.684	12.184	0.017	0.977	140000.0
281	547.916	12.053	77.396	11.871	0.016	0.978	130000.0
282	555.171	11.79	77.102	11.691	0.015	0.979	270000.0
283	533.205	11.629	75.966	11.623	0.016	0.98	180000.0
284	549.152	11.904	79.599	11.96	0.016	0.979	170000.0
285	545.317	12.062	76.674	11.926	0.016	0.978	90000.0
286	537.966	11.749	78.821	11.921	0.016	0.978	110000.0
287	528.854	11.517	75.379	11.441	0.015	0.98	120000.0
288	540.048	11.765	75.325	11.412	0.016	0.981	140000.0
289	548.128	12.095	78.747	12.105	0.017	0.978	160000.0
290	540.062	11.811	77.93	11.829	0.017	0.979	70000.0
291	530.441	11.97	77.072	11.936	0.016	0.979	140000.0
292	530.928	11.546	76.254	11.413	0.015	0.981	180000.0
293	558.655	11.996	80.104	11.92	0.016	0.979	190000.0
294	509.139	11.339	72.083	11.357	0.016	0.98	150000.0
295	557.599	12.109	78.242	12.087	0.016	0.978	80000.0
296	558.335	12.121	79.589	12.104	0.017	0.978	110000.0
297	541.698	11.932	77.034	11.815	0.017	0.979	160000.0
298	536.267	12.211	75.283	12.058	0.017	0.977	120000.0
299	539.562	11.937	75.963	11.746	0.016	0.98	90000.0
300	560.042	11.951	80.536	12.165	0.016	0.978	120000.0
301	543.783	12.073	76.2	11.878	0.017	0.978	190000.0
302	538.438	11.937	74.989	11.751	0.016	0.978	130000.0
303	534.284	11.629	77.076	11.77	0.015	0.979	60000.0
304	554.402	12.193	76.962	11.905	0.017	0.979	110000.0
305	539.234	11.943	77.58	11.796	0.017	0.979	150000.0
306	527.479	11.758	73.638	11.695	0.016	0.979	220000.0
307	542.437	11.491	77.423	11.52	0.015	0.981	210000.0
308	541.13	11.727	76.193	11.679	0.016	0.979	120000.0
309	561.678	12.122	81.195	12.123	0.016	0.978	70000.0
310	548.223	12.002	78.775	11.797	0.017	0.98	130000.0
311	518.146	11.332	74.969	11.493	0.015	0.98	150000.0
312	541.475	11.717	75.022	11.617	0.015	0.979	130000.0
313	548.426	11.853	79.107	11.917	0.016	0.978	140000.0
314	532.199	11.362	75.492	11.235	0.014	0.982	160000.0
315	533.683	11.421	74.419	11.36	0.015	0.981	120000.0
316	545.506	11.733	77.38	11.784	0.016	0.979	160000.0
317	563.855	12.055	80.153	12.239	0.017	0.977	100000.0
318	541.501	11.857	76.954	11.868	0.016	0.979	130000.0
319	538.448	11.709	75.606	11.3	0.015	0.981	140000.0
320	526.454	11.74	73.273	11.308	0.016	0.981	100000.0
321	550.516	11.907	77.695	11.848	0.016	0.979	90000.0
322	556.878	11.924	80.219	12.083	0.016	0.978	110000.0
323	523.407	11.418	72.831	11.216	0.015	0.981	120000.0
324	545.476	11.722	76.726	11.552	0.015	0.98	160000.0
325	548.692	11.551	77.135	11.349	0.015	0.981	80000.0
326	553.22	11.883	78.015	11.618	0.015	0.98	80000.0
327	531.496	11.805	76.679	11.856	0.015	0.979	130000.0
328	547.497	11.561	77.582	11.49	0.014	0.98	100000.0
329	543.256	12.058	79.619	11.88	0.017	0.979	70000.0
330	536.429	11.886	78.322	12.098	0.016	0.977	120000.0
331	532.927	11.438	76.796	11.31	0.014	0.982	110000.0
332	540.496	11.75	76.484	11.67	0.016	0.979	140000.0
333	544.298	11.934	77.074	11.852	0.016	0.979	110000.0
334	547.304	11.919	77.131	11.889	0.015	0.979	210000.0
335	529.235	11.943	73.281	11.696	0.016	0.979	140000.0
336	519.86	11.77	73.738	11.754	0.016	0.978	150000.0
337	527.934	11.589	75.317	11.602	0.015	0.979	90000.0
338	543.105	11.809	77.487	12.046	0.016	0.977	160000.0
339	535.065	11.618	75.375	11.572	0.016	0.979	120000.0
340	543.074	11.948	78.593	11.987	0.016	0.978	120000.0
341	540.196	12.139	74.913	11.978	0.017	0.978	140000.0
342	540.585	11.63	74.255	11.389	0.015	0.98	120000.0
343	538.187	11.555	74.638	11.47	0.015	0.98	160000.0
344	526.119	11.294	76.448	11.568	0.014	0.98	100000.0
345	526.316	11.846	74.364	11.716	0.016	0.979	210000.0
346	516.831	11.214	74.041	11.209	0.015	0.981	80000.0
347	544.916	11.633	77.66	11.622	0.015	0.981	70000.0
348	529.708	11.705	76.385	11.458	0.015	0.98	140000.0
349	542.966	12.058	76.748	11.978	0.017	0.978	110000.0
350	544.515	11.25	77.159	10.98	0.014	0.982	70000.0
351	550.784	12.006	77.201	12.053	0.016	0.978	180000.0
352	550.156	12.253	78.383	12.129	0.017	0.978	190000.0
353	547.116	11.735	79.107	11.741	0.015	0.98	170000.0
354	521.071	11.544	73.752	11.526	0.016	0.98	110000.0
355	548.779	11.871	77.728	11.804	0.016	0.979	170000.0
356	528.486	11.288	74.349	11.05	0.014	0.982	80000.0
357	536.87	11.908	75.02	11.69	0.016	0.979	140000.0
358	527.875	11.585	73.985	11.482	0.015	0.979	180000.0
359	538.605	11.92	76.494	11.973	0.016	0.978	170000.0
360	528.623	11.775	74.243	11.747	0.016	0.978	130000.0
361	542.95	11.616	77.026	11.684	0.015	0.98	240000.0
362	547.158	11.542	75.538	11.376	0.015	0.98	100000.0
363	536.188	11.535	77.384	11.695	0.015	0.979	100000.0
364	563.485	12.108	80.751	12.254	0.016	0.978	120000.0
365	526.691	11.577	74.249	11.523	0.015	0.98	160000.0
366	547.06	11.664	75.576	11.686	0.015	0.979	170000.0
367	549.017	11.945	79.704	12.01	0.016	0.978	70000.0
368	536.446	11.447	76.07	11.475	0.014	0.98	180000.0
369	545.189	11.884	77.018	11.925	0.016	0.978	140000.0
370	540.103	11.434	77.357	11.629	0.015	0.979	120000.0
371	548.562	11.929	78.49	11.948	0.015	0.979	130000.0
372	541.866	12.158	76.194	12.193	0.017	0.976	90000.0
373	537.203	11.56	76.348	11.308	0.015	0.981	160000.0
374	531.08	11.599	77.412	11.771	0.015	0.98	90000.0
375	537.551	11.445	75.102	11.352	0.015	0.98	80000.0
376	546.098	11.951	77.302	11.729	0.017	0.979	160000.0
377	524.077	11.423	73.023	11.384	0.015	0.98	80000.0
378	516.542	11.654	72.702	11.646	0.016	0.978	190000.0
379	528.437	11.599	76.434	11.537	0.016	0.98	160000.0
380	565.356	12.178	81.058	12.102	0.016	0.979	150000.0
381	547.582	12.121	78.79	11.977	0.017	0.978	110000.0
382	536.793	11.952	76.516	11.997	0.016	0.978	210000.0
383	553.989	12.177	78.659	12.007	0.017	0.978	110000.0
384	542.892	11.888	77.42	11.569	0.015	0.98	130000.0
385	539.295	11.683	78.242	11.748	0.016	0.979	110000.0
386	541.81	11.974	75.445	11.865	0.016	0.978	130000.0
387	540.009	11.858	75.656	11.727	0.016	0.978	130000.0
388	548.436	11.983	77.094	11.847	0.016	0.979	170000.0
389	546.473	11.889	76.534	11.673	0.016	0.98	150000.0
390	550.185	11.871	77.291	11.893	0.015	0.979	110000.0
391	530.66	11.592	76.637	11.639	0.016	0.979	100000.0
392	558.628	12.232	80.462	12.233	0.017	0.978	150000.0
393	536.625	12.014	75.647	11.801	0.017	0.979	310000.0
394	532.613	11.848	76.606	12.0	0.016	0.978	200000.0
395	556.258	11.913	77.773	11.838	0.015	0.979	90000.0
396	535.697	11.626	76.041	11.471	0.015	0.98	60000.0
397	535.786	11.484	76.152	11.487	0.015	0.98	180000.0
398	534.014	11.763	73.824	11.472	0.016	0.979	80000.0
399	556.629	11.68	78.47	11.499	0.015	0.981	60000.0
400	534.206	11.684	76.926	11.747	0.016	0.979	100000.0
401	555.576	12.081	77.925	12.065	0.017	0.978	110000.0
402	546.116	11.707	77.619	11.809	0.015	0.979	170000.0
403	553.27	12.137	79.979	12.304	0.017	0.978	70000.0
404	558.987	12.232	78.422	12.125	0.017	0.977	230000.0
405	515.357	11.428	73.843	11.462	0.015	0.98	110000.0
406	528.723	11.984	74.182	11.731	0.016	0.979	150000.0
407	536.385	11.844	75.716	11.941	0.016	0.978	140000.0
408	514.849	10.947	72.805	11.044	0.014	0.981	160000.0
409	534.597	11.913	77.204	12.121	0.016	0.977	110000.0
410	530.743	11.686	76.145	11.706	0.016	0.979	190000.0
411	521.58	11.507	74.662	11.436	0.016	0.98	130000.0
412	532.081	11.814	73.995	11.72	0.016	0.979	90000.0
413	550.86	11.865	77.905	11.903	0.016	0.979	150000.0
414	537.96	11.898	77.366	11.82	0.016	0.98	80000.0
415	533.207	11.447	77.322	11.645	0.015	0.98	110000.0
416	534.521	11.557	77.226	11.589	0.015	0.98	110000.0
417	561.465	12.276	79.173	12.172	0.017	0.978	80000.0
418	509.088	11.532	74.762	11.885	0.016	0.978	120000.0
419	527.486	11.639	72.68	11.329	0.016	0.981	80000.0
420	554.331	11.901	77.02	11.616	0.016	0.981	90000.0
421	532.909	11.58	75.22	11.49	0.015	0.98	130000.0
422	537.912	11.707	76.201	11.571	0.016	0.98	50000.0
423	553.358	12.094	78.298	12.128	0.016	0.978	130000.0
424	529.676	11.403	73.898	11.228	0.014	0.982	80000.0
425	542.059	11.664	78.549	11.798	0.015	0.979	110000.0
426	534.101	11.702	74.623	11.504	0.016	0.98	90000.0
427	531.584	11.454	76.558	11.451	0.015	0.981	150000.0
428	538.254	11.726	76.899	11.784	0.015	0.98	180000.0
429	535.815	11.669	75.524	11.699	0.015	0.98	150000.0
430	534.052	11.89	78.359	11.904	0.017	0.978	200000.0
431	531.744	11.933	74.952	11.805	0.016	0.979	140000.0
432	534.678	11.55	75.889	11.573	0.015	0.979	120000.0
433	523.891	11.576	73.379	11.507	0.016	0.979	240000.0
434	535.197	11.599	74.08	11.381	0.015	0.981	150000.0
435	531.328	11.72	75.415	11.754	0.016	0.979	110000.0
436	536.067	11.789	74.521	11.37	0.016	0.981	130000.0
437	545.059	11.858	77.959	11.781	0.016	0.98	80000.0
438	537.654	11.641	77.341	11.386	0.015	0.981	110000.0
439	549.596	11.961	77.464	11.677	0.016	0.98	100000.0
440	553.69	11.717	78.124	11.795	0.015	0.979	160000.0
441	533.975	11.225	74.916	11.239	0.014	0.981	220000.0
442	539.476	11.851	74.217	11.713	0.016	0.978	160000.0
443	541.493	11.865	80.559	12.072	0.015	0.979	110000.0
444	531.504	11.629	76.881	11.689	0.015	0.979	110000.0
445	505.206	11.4	70.632	11.307	0.015	0.981	110000.0
446	526.309	11.672	73.536	11.514	0.016	0.979	110000.0
447	532.723	11.658	75.588	11.366	0.015	0.982	160000.0
448	513.918	11.499	72.227	11.393	0.015	0.98	100000.0
449	547.016	12.136	75.257	11.861	0.016	0.978	90000.0
450	571.857	12.066	80.971	12.008	0.016	0.978	160000.0
