NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
201	1146.709	23.268	184.17	25.59	0.053	0.903	20000.0
202	1171.904	23.883	184.435	25.963	0.054	0.899	20000.0
203	1186.442	24.178	188.783	26.589	0.056	0.896	50000.0
204	1192.957	24.251	190.499	26.445	0.055	0.897	20000.0
205	1174.828	23.726	185.581	25.831	0.053	0.902	20000.0
206	1161.158	23.533	187.946	26.18	0.054	0.899	20000.0
207	1172.573	23.912	189.236	26.327	0.055	0.898	20000.0
208	1192.783	24.237	189.405	26.58	0.055	0.895	20000.0
209	1126.795	22.773	184.098	25.75	0.05	0.902	20000.0
210	1157.533	23.548	183.391	25.816	0.053	0.9	20000.0
211	1189.708	23.907	187.42	26.249	0.054	0.897	30000.0
212	1192.603	24.251	192.21	26.752	0.057	0.896	30000.0
213	1166.484	23.604	185.677	25.682	0.053	0.904	20000.0
214	1184.555	24.046	189.271	26.482	0.054	0.896	30000.0
215	1155.388	23.594	182.735	25.842	0.053	0.9	20000.0
216	1162.947	23.619	184.954	26.086	0.054	0.899	20000.0
217	1156.277	23.602	184.626	26.174	0.054	0.899	20000.0
218	1162.392	23.57	186.296	25.873	0.052	0.9	20000.0
219	1179.422	23.951	188.796	26.523	0.055	0.895	20000.0
220	1166.555	23.718	185.682	26.153	0.053	0.898	40000.0
221	1167.251	23.784	189.083	26.419	0.055	0.898	30000.0
222	1186.029	24.204	187.01	26.354	0.056	0.897	40000.0
223	1167.18	23.747	186.632	26.055	0.054	0.9	30000.0
224	1175.127	23.807	187.631	26.292	0.054	0.899	30000.0
225	1210.011	24.487	191.428	26.572	0.056	0.899	20000.0
226	1167.147	23.742	186.845	26.318	0.055	0.9	20000.0
227	1190.001	24.374	189.279	26.696	0.057	0.897	20000.0
228	1159.625	23.479	185.403	25.957	0.053	0.901	20000.0
229	1170.416	23.756	182.452	25.942	0.053	0.9	30000.0
230	1186.963	24.207	191.476	26.847	0.056	0.892	30000.0
231	1176.918	23.78	188.256	26.123	0.053	0.9	40000.0
232	1186.184	24.183	188.718	26.53	0.057	0.896	40000.0
233	1176.24	24.191	187.456	26.614	0.057	0.896	20000.0
